サービス名,運営会社,施設名,都道府県,住所,最寄駅,設置場所詳細,営業時間,ブース数,料金（税込）,情報ソース,詳細URL,緯度,経度,ジオコード住所,ジオコードステータス,ジオコードクエリ,ジオコード方法
テレキューブ,テレキューブサービス（ブイキューブグループ）,上本町バスターミナル,大阪府,大阪府大阪市天王寺区上本町６丁目１-55,大阪上本町駅,1F　EV奥スペース / 上本町バスターミナル内 / 大阪上本町駅直結 13番出口から徒歩1分 / ※徒歩時間は施設までの時間であり、テレキューブまでの時間ではありませんのでご注意ください,平日土日祝 7:00-22:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：3台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/uehonmachi-busterminal/,34.665579,135.5209248,日本、〒543-0001 大阪府大阪市天王寺区上本町６丁目１−５５,OK,大阪府大阪市天王寺区上本町６丁目１-55,
テレキューブ,テレキューブサービス（ブイキューブグループ）,BiVi仙台駅東口,宮城県,宮城県仙台市宮城野区榴岡2-1-25,仙台駅,3F　EVホール / 仙台駅東口　徒歩2分 / ※徒歩時間は施設までの時間であり、テレキューブまでの時間ではありませんのでご注意ください,平日土日祝 7:00-22:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：4台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/bivisendai_east/,38.2610647,140.8836719,日本、〒983-0852 宮城県仙台市宮城野区榴岡２丁目１−２５,OK,宮城県仙台市宮城野区榴岡2-1-25,
テレキューブ,テレキューブサービス（ブイキューブグループ）,ふれあいキューブ,埼玉県,埼玉県春日部市南1-1-7,春日部駅,1F共用部 / 春日部駅西口より徒歩５分 / ※徒歩時間は施設までの時間であり、テレキューブまでの時間ではありませんのでご注意ください,平日土日祝 9:00-21:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：2台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/fureaicube/,35.9781216,139.7552164,日本、〒344-0064 埼玉県春日部市南１丁目１−７,OK,埼玉県春日部市南1-1-7,
テレキューブ,テレキューブサービス（ブイキューブグループ）,慶應義塾大学,東京都,東京都港区三田２丁目１５-45,慶應義塾大学,南校舎　２階　PCラウンジ横 / ※このブースは、慶應義塾大学学生専用ブースです。,平日土 8:00-20:00 料金: ・平日土 110円/15分(税込),1人用：3台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/keio/,35.6492141,139.7418255,日本、〒108-0073 東京都港区三田２丁目１５−４５,OK,東京都港区三田２丁目１５-45,
テレキューブ,テレキューブサービス（ブイキューブグループ）,女満別空港,北海道,北海道網走郡大空町女満別中央201-3,女満別空港,1Fコンビニエンスストア前 / 女満別空港内,平日土日祝 8:00-20:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：2台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/memanbetsu_airport/,43.8812893,144.15895,日本、〒099-2371 北海道網走郡大空町女満別中央２０１−３,OK,北海道網走郡大空町女満別中央201-3,
テレキューブ,テレキューブサービス（ブイキューブグループ）,たんちょう釧路空港,北海道,北海道釧路市鶴丘2釧路空港旅客ビル3,たんちょう釧路空港,釧路空港旅客ビル3F / たんちょう釧路空港内,平日土日祝 7:30-20:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：2台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/kushiro_airport/,43.0450955,144.1962856,日本、〒084-0926 北海道釧路市鶴丘２ 釧路空港（たんちょう釧路空港）,OK,北海道釧路市鶴丘2釧路空港旅客ビル3F,
テレキューブ,テレキューブサービス（ブイキューブグループ）,とかち帯広空港,北海道,北海道帯広市泉町西9線中8-41ターミナルビル3,とかち帯広空港,3F展望ホール内 / とかち帯広空港内,平日土日祝 8:00-20:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：2台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/obihiro_airport/,42.7315896,143.2131488,日本、〒089-1245 北海道帯広市泉町西９線８−４１ 中８-４１ 3f,OK,北海道帯広市泉町西9線中8-41ターミナルビル3F展望ホール,
テレキューブ,テレキューブサービス（ブイキューブグループ）,県営名古屋空港,愛知県,愛知県西春日井郡豊山町豊場,西春駅・名古屋駅,1F　到着ロビー / 名鉄バス「西春駅」から約20分 / あおい交通「名古屋駅」から約20分,平日土日祝 7:00-20:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用：2台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/nagoya_airport/,35.2448094,136.9169667,日本、〒480-0202 愛知県西春日井郡豊山町豊場,OK,愛知県西春日井郡豊山町豊場,
テレキューブ,テレキューブサービス（ブイキューブグループ）,東京ビッグサイト 南棟2F,東京都,東京都江東区有明3丁目11-1,東京ビッグサイト駅・国際展示場駅,南棟2F ビジター＆ビジネスセンター南棟店内 / 新交通ゆりかもめ/東京ビッグサイト駅 （下車 徒歩約3分） / りんかい線/国際展示場駅（下車 徒歩約7分） / ※徒歩時間は施設までの時間であり、テレキューブまでの時間ではありませんのでご注意ください,平日土日祝日: 9:15 〜 16:45 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),1人用: 2台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/tokyobigsight_south/,35.6344485,139.7915501,日本、〒135-0063 東京都江東区有明３丁目７−３ ホーム 1,OK,東京都江東区有明3丁目11-1,
テレキューブ,テレキューブサービス（ブイキューブグループ）,ロサヴィア茨木,大阪府,大阪府茨木市永代町1-5,茨木市駅,1F　北口側エントランス / 阪急京都線　茨木市駅直結,平日土日祝 7:00-22:00 料金: ・平日 330円/15分(税込) ・土日祝 220円/15分(税込),１人用: ２台,330円/15分,https://telecube.jp/location/,https://telecube.jp/location/rosavia_ibaraki/,34.8170886,135.5760675,日本、〒567-0816 大阪府茨木市永代町１−５,OK,大阪府茨木市永代町1-5,
