サービス名,運営会社,施設名,都道府県,住所,最寄駅,設置場所詳細,営業時間,ブース数,料金（税込）,情報ソース,詳細URL
いいオフィス,,宮の森 by be co-working,北海道,,,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/miyanomori-by-be
いいオフィス,,札幌 by Sapporo Nest,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/sapporo-by-nest
いいオフィス,,PaO Work 札幌駅 野村不動産札幌ビル,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/paoworksapporoekinomurafudosansapporo-by-pao
いいオフィス,,PaO Work 大通駅 札幌ノースプラザ,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/paoworkodoriekisapporonorthplaza-by-pao
いいオフィス,,中標津 by MILK,北海道,,,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/shibetsugun/nakashibetsu-by-milk
いいオフィス,,旭川 by Attic Cafe,北海道,,,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/asahikawashi/asahikawa-by-attic-cafe
いいオフィス,,旭川 by Worcu-pet,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/asahikawashi/asahikawa-by-worcu-pet
いいオフィス,,千歳 by 千歳アルカディア・プラザ,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/chitoseshi/chitose-by-plaza
いいオフィス,,札内 by N SPACE,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/nakagawagun/satsunai-by-nspace
いいオフィス,,岩見沢 by エヌコロン,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/iwamisawashi/iwamisawa-by-n-colon
いいオフィス,,武蔵小山東口店 by FEEEP,北海道,,,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/shinagawaku/musashikoyama-by-feeep
いいオフィス,,北海道八雲 by ぺコレラ学舎,北海道,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/futamigun/yakumo-by-pekolela
いいオフィス,,三戸 by SANNOHE,青森県,,,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/aomori/sannohegun/sannohe-by-sannohe
いいオフィス,,釜石 by co-ba kamaishi marudai,岩手県,,,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/iwate/kamaishishi/kamaishi-by-co-ba
いいオフィス,,仙台苦竹 by STUDIO080,宮城県,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/miyagi/sendaishi/nigatake-by-studio080
いいオフィス,,仙台 by Neo Breakthrough,宮城県,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/miyagi/sendaishi/sendai-by-neobreakthrough
いいオフィス,,YOYO仙台駅西口 by PaO,宮城県,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/miyagi/sendaishi/yoyosendai-by-pao
いいオフィス,,momo仙台駅東口,宮城県,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/miyagi/sendaishi/momosendaiekihigashiguchi-by-pao
いいオフィス,,NOB仙台駅西口,宮城県,,,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/miyagi/sendaishi/nobsendaiekinishiguchi-by-pao
