サービス名,運営会社,施設名,都道府県,住所,最寄駅,設置場所詳細,営業時間,ブース数,料金（税込）,情報ソース,詳細URL,緯度,経度,ジオコード住所,ジオコードステータス,ジオコードクエリ,ジオコード方法
いいオフィス,,宮の森 by be co-working,北海道,北海道札幌市中央区宮の森二条 4丁目1-24 ドミニオン宮の森1F be SQUARE内,桑園駅,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/miyanomori-by-be,43.063030746707206,141.30952175745196,〒064-0952 北海道札幌市中央区宮の森二条 4丁目1-24 ドミニオン宮の森1F be SQUARE内,OK,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/miyanomori-by-be,e-office
いいオフィス,,札幌 by Sapporo Nest,北海道,北海道札幌市中央区南二条西3-12-5 K2 SQUARE 7F,大通駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/sapporo-by-nest,43.05817417747236,141.3539173048313,〒060-0062 北海道札幌市中央区南二条西3-12-5 K2 SQUARE 7F,OK,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/sapporo-by-nest,e-office
いいオフィス,,PaO Work 札幌駅 野村不動産札幌ビル,北海道,北海道札幌市北区北7条西2丁目15-1 野村不動産札幌ビル,札幌駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/paoworksapporoekinomurafudosansapporo-by-pao,43.07020739533389,141.35189094320094,〒060‑0007 北海道札幌市北区北7条西2丁目15-1 野村不動産札幌ビル,OK,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/paoworksapporoekinomurafudosansapporo-by-pao,e-office
いいオフィス,,PaO Work 大通駅 札幌ノースプラザ,北海道,北海道札幌市中央区北1条西4丁目2-2 札幌ノースプラザ,大通駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/paoworkodoriekisapporonorthplaza-by-pao,43.062306165724756,141.3513325872601,〒060‑0001 北海道札幌市中央区北1条西4丁目2-2 札幌ノースプラザ,OK,https://e-office.space/spaces/hokkaido/hokkaido/sapporoshi/paoworkodoriekisapporonorthplaza-by-pao,e-office
いいオフィス,,中標津 by MILK,北海道,北海道標津郡中標津町東３条北１丁目6 2F,最寄り駅なし,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/shibetsugun/nakashibetsu-by-milk,43.55013073886473,144.9763835796051,〒086-1043 北海道標津郡中標津町東３条北１丁目6 2F,OK,https://e-office.space/spaces/hokkaido/hokkaido/shibetsugun/nakashibetsu-by-milk,e-office
いいオフィス,,旭川 by Attic Cafe,北海道,"北海道旭川市2条通8丁目222-3 2,3F（ミスドの上)",旭川駅,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/asahikawashi/asahikawa-by-attic-cafe,43.766974302285355,142.36019576045967,"〒070-0032 北海道旭川市2条通8丁目222-3 2,3F（ミスドの上)",OK,https://e-office.space/spaces/hokkaido/hokkaido/asahikawashi/asahikawa-by-attic-cafe,e-office
いいオフィス,,旭川 by Worcu-pet,北海道,北海道旭川市３条通８丁目８４２-２ 神田館１階,旭川駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/asahikawashi/asahikawa-by-worcu-pet,43.767490900821194,142.36095157373148,〒070-0033 北海道旭川市３条通８丁目８４２-２ 神田館１階,OK,https://e-office.space/spaces/hokkaido/hokkaido/asahikawashi/asahikawa-by-worcu-pet,e-office
いいオフィス,,千歳 by 千歳アルカディア・プラザ,北海道,北海道千歳市柏台南１丁目３番地の１ 千歳アルカディア・プラザ１F,南千歳駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/chitoseshi/chitose-by-plaza,42.80940943112033,141.67490725363345,〒066-0009 北海道千歳市柏台南１丁目３番地の１ 千歳アルカディア・プラザ１F,OK,https://e-office.space/spaces/hokkaido/hokkaido/chitoseshi/chitose-by-plaza,e-office
いいオフィス,,札内 by N SPACE,北海道,北海道中川郡幕別町札内桜町83-14 docomoショップ札内店2階,札内駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/nakagawagun/satsunai-by-nspace,42.920249852157944,143.24099996910718,〒089-0535 北海道中川郡幕別町札内桜町83-14 docomoショップ札内店2階,OK,https://e-office.space/spaces/hokkaido/hokkaido/nakagawagun/satsunai-by-nspace,e-office
いいオフィス,,岩見沢 by エヌコロン,北海道,北海道岩見沢市4条西4丁目1-2 シーテラス2階,岩見沢駅,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/iwamisawashi/iwamisawa-by-n-colon,43.20203250642713,141.76341630625026,〒068-0024 北海道岩見沢市4条西4丁目1-2 シーテラス2階,OK,https://e-office.space/spaces/hokkaido/hokkaido/iwamisawashi/iwamisawa-by-n-colon,e-office
いいオフィス,,武蔵小山東口店 by FEEEP,東京都,東京都品川区小山3-14-1 シティタワー武蔵小山A104区画,武蔵小山駅,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/shinagawaku/musashikoyama-by-feeep,35.62114421933903,139.70591532582864,〒142-0062 東京都品川区小山3-14-1 シティタワー武蔵小山A104区画,OK,https://e-office.space/spaces/hokkaido/hokkaido/shinagawaku/musashikoyama-by-feeep,e-office
いいオフィス,,北海道八雲 by ぺコレラ学舎,北海道,北海道二海郡八雲町上八雲296-1,最寄り駅なし,完全個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/hokkaido/hokkaido/futamigun/yakumo-by-pekolela,42.288382985756925,140.1560425261057,〒049-3121 北海道二海郡八雲町上八雲296-1,OK,https://e-office.space/spaces/hokkaido/hokkaido/futamigun/yakumo-by-pekolela,e-office
いいオフィス,,三戸 by SANNOHE,青森県,青森県三戸郡三戸町大字川守田字元木平8番地1 アップルドーム2階,三戸駅,個室ブース,,,,いいオフィス公式サイト,https://e-office.space/spaces/tohoku/aomori/sannohegun/sannohe-by-sannohe,40.390229071795346,141.26606576343147,〒039-0141 青森県三戸郡三戸町大字川守田字元木平8番地1 アップルドーム2階,OK,https://e-office.space/spaces/tohoku/aomori/sannohegun/sannohe-by-sannohe,e-office
